sci_name,com_name,class_name,common_name_de,common_name_es,common_name_pl,common_name_fr,common_name_nl,common_name_ru,common_name_ja,common_name_cs,common_name_ca,common_name_pt,common_name_no,common_name_bg,common_name_sv,common_name_da,common_name_tr,common_name_sk,common_name_sr,common_name_uk,common_name_zh-CN,common_name_fi,common_name_es_ES,common_name_es_MX,common_name_es_EC,common_name_pt_PT,common_name_hr,common_name_lt,common_name_fa,common_name_cy,common_name_et
Pipreola arcuata,Barred Fruiteater,Aves,Bindenkotinga,Frutero Barrado,owocojad prążkowany,Cotinga barré,Gebandeerde cotinga,Полосатый ягодоед,シマミドリカザリドリ,kotinga andská,cotinga barrada,barred fruiteater,båndfrukteter,Ястребогърда плодоядна котинга,tvärstrimmig fruktätare,Tværstribet Frugtæder,Yazılı Meyveyiyen,ovociar pásikavý,Pirgava voćarka,Плодоїд смугастий,横斑食果伞鸟,raitakotinga,Frutero barrado,Frutero Barrado,Frutero Barreteado,Barred fruiteater,prugasta kotinga,Dryžoji pipreola,میوهخورک نواری,Cotinga rhesog,vööt-rohekotinga
Pipreola aureopectus,Golden-breasted Fruiteater,Aves,Goldbrustkotinga,Frutero Pechidorado,owocojad złotobrzuchy,Cotinga à poitrine d'or,Goudbuikcotinga,Златогрудый ягодоед,キムネミドリカザリドリ,kotinga žlutoprsá,cotinga pitdaurada,golden-breasted fruiteater,gullbrystfrukteter,Жълтогърда плодоядна котинга,gulbröstad fruktätare,Gulbrystet Frugtæder,Altın Göğüslü Meyveyiyen,ovociar zlatoprsý,Zlatogruda voćarka,Плодоїд золотоволий,金胸食果伞鸟,kultarintakotinga,Frutero pechidorado,Frutero Pechidorado,Granicera Pechidorada,Golden-breasted fruiteater,zlatnoprsa kotinga,Auksakrūtė pipreola,میوهخورک سینهطلایی,Cotinga eurfron,kuldpugu-rohekotinga
Pipreola chlorolepidota,Fiery-throated Fruiteater,Aves,Orangekehlkotinga,Frutero Gorjirrojo,owocojad malutki,Cotinga à gorge rouge,Vuurkeelcotinga,Огненогрудый ягодоед,ノドアカミドリカザリドリ,kotinga ohnivohrdlá,cotinga gorja-roja,fiery-throated fruiteater,ildstrupefrukteter,Червеногуша плодоядна котинга,flamfruktätare,Flammefrugtæder,Kırmızı Gerdanlı Meyveyiyen,ovociar malý,Vatrogrla voćarka,Плодоїд малий,红喉食果伞鸟,tulikurkkukotinga,Frutero gorjirrojo,Frutero Gorjirrojo,Frutero Golifuego,Fiery-throated fruiteater,crvenogrla kotinga,Raudongurklė pipreola,میوهخورک گلوآتشی,Cotinga gwddf fflamgoch,tulikurk-rohekotinga
Pipreola formosa,Handsome Fruiteater,Aves,Weißfleckenkotinga,Frutero Hermoso,owocojad wenezuelski,Cotinga magnifique,Prachtcotinga,Пятнистокрылый ягодоед,ゴシキカザリドリ,kotinga venezuelská,cotinga formosa,handsome fruiteater,mirandafrukteter,Венецуелска плодоядна котинга,praktfruktätare,Pragtfrugtæder,Muhteşem Meyveyiyen,ovociar skvostný,Cejlonska voćarka,Плодоїд венесуельський,丽色食果伞鸟,kaunokotinga,Frutero hermoso,Frutero Hermoso,Granicera Hermosa,Handsome fruiteater,venezuelska kotinga,Puikioji pipreola,میوهخورک زیبا,Cotinga hardd,venetsueela rohekotinga
Pipreola frontalis,Scarlet-breasted Fruiteater,Aves,Scharlachbrustkotinga,Frutero Pechirrojo,owocojad płomienny,Cotinga chevalier,Geelkeelcotinga,Красногрудый ягодоед,ムネアカミドリカザリドリ,kotinga červenoprsá,cotinga pit-roja,scarlet-breasted fruiteater,flammebrystfrukteter,Червеногърда плодоядна котинга,rödbröstad fruktätare,Rødbrystet Frugtæder,Kızıl Gıdılı Meyveyiyen,ovociar rytiersky,Crvenogruda voćarka,Плодоїд червоноволий,红胸食果伞鸟,mustanokkakotinga,Frutero pechirrojo,Frutero Pechirrojo,Frutero Pechiescarlata,Scarlet-breasted fruiteater,plamenogrla kotinga,Raudonkrūtė pipreola,میوهخورک سینهقرمز,Cotinga gyddfgoch,roostepugu-rohekotinga
Pipreola intermedia,Band-tailed Fruiteater,Aves,Schmuckbauchkotinga,Frutero Colifajado,owocojad pręgosterny,Cotinga à queue rayée,Zwartkopcotinga,Пестрогрудый ягодоед,オビオミドリカザリドリ,kotinga pásoocasá,cotinga cua-ratllada,band-tailed fruiteater,båndstjertfrukteter,Пъстрокорема плодоядна котинга,bandstjärtad fruktätare,Båndhalet Frugtæder,Bant Kuyruklu Meyveyiyen,ovociar pruhochvostý,Trakorepa voćarka,Плодоїд смугохвостий,斑尾食果伞鸟,juovapyrstökotinga,Frutero colifajado,Frutero Colifajado,Frutero de Cola Bandeada,Band-tailed fruiteater,crvenokljuna kotinga,Dryžauodegė pipreola,میوهخورک دمنواری,Cotinga cynffonresog,kippel-rohekotinga
Pipreola jucunda,Orange-breasted Fruiteater,Aves,Orangebrustkotinga,Frutero Pechinaranja,owocojad złotopierśny,Cotinga jucunda,Oranjebuikcotinga,Оранжевогрудый ягодоед,ミヤマキムネミドリカザリドリ,kotinga oranžovoprsá,cotinga de gorja taronja,orange-breasted fruiteater,oransjebrystfrukteter,Оранжевогърда плодоядна котинга,orangebröstad fruktätare,Orangebrystet Frugtæder,Turuncu Göğüslü Meyveyiyen,ovociar ohnivoprsý,Narandžastogruda voćarka,Плодоїд вогнистоволий,橙胸食果伞鸟,oranssirintakotinga,Frutero pechinaranja,Frutero Pechinaranja,Frutero Pechinaranja,Orange-breasted fruiteater,narančastoprsa kotinga,Rusvakrūtė pipreola,میوهخورک سینهنارنجی,Cotinga bronoren,manisk-rohekotinga
Pipreola lubomirskii,Black-chested Fruiteater,Aves,Schwarzkappenkotinga,Frutero Pechinegro,owocojad czarnolicy,Cotinga de Lubomirsk,Zwartborstcotinga,Черногрудый ягодоед,ムナグロミドリカザリドリ,kotinga černoprsá,cotinga pitnegra,black-chested fruiteater,svartbrystfrukteter,Черногърда плодоядна котинга,svartbröstad fruktätare,Sortbrystet Frugtæder,Siyah Gerdanlı Meyveyiyen,ovociar Lubomirského,Crnogruda voćarka,Плодоїд цитриновогрудий,黑胸食果伞鸟,mustarintakotinga,Frutero pechinegro,Frutero Pechinegro,Frutero Pechinegro,Black-chested fruiteater,žutoprsa kotinga,Juodagalvė pipreola,میوهخورک سینهسیاه,Cotinga bronddu,süsipea-rohekotinga
Pipreola pulchra,Masked Fruiteater,Aves,Gelbbrustkotinga,Frutero Enmascarado,owocojad złotoszyi,Cotinga masqué,Maskercotinga,Манишковый ягодоед,カオグロミドリカザリドリ,kotinga škrabošková,cotinga emmascarada,masked fruiteater,smekkefrukteter,Чернолика плодоядна котинга,maskfruktätare,Maskefrugtæder,Maskeli Meyveyiyen,ovociar maskový,Maskirana voćarka,Плодоїд масковий,花脸食果伞鸟,juovarintakotinga,Frutero enmascarado,Frutero Enmascarado,Frutero Enmascarado,Masked fruiteater,prugastoboka kotinga,Kaukėtoji pipreola,میوهخورک نقابدار,Masked Fruiteater,põll-rohekotinga
Pipreola riefferii,Green-and-black Fruiteater,Aves,Goldbandkotinga,Frutero Verdinegro,owocojad łuskowany,Cotinga vert et noir,Groen-zwarte cotinga,Ожереловый ягодоед,ズグロミドリカザリドリ,kotinga zelenočerná,cotinga verd-i-negra,green-and-black fruiteater,grønnfrukteter,Огърличеста плодоядна котинга,grön fruktätare,Grøn Frugtæder,Yeşil Siyah Meyveyiyen,ovociar zeleno-čierny,Zeleno-crna voćarka,Плодоїд чорно-зелений,绿黑食果伞鸟,huppukotinga,Frutero verdinegro,Frutero Verdinegro,Frutero Verdinegro,Green-and-black fruiteater,ogrličasta kotinga,Žalioji pipreola,میوهخورک سبزوسیاه,Cotinga gwyrdd a du,võru-rohekotinga
Pipreola whitelyi,Red-banded Fruiteater,Aves,Brustbandkotinga,Frutero Degollado,owocojad obrożny,Cotinga cordon-rouge,Roodbandcotinga,Серый ягодоед,アカオビカザリドリ,kotinga červenopásá,cotinga degollada,anambé-dos-tepuis,tepuifrukteter,Тепуйска плодоядна котинга,tepuífruktätare,Tepuífrugtæder,Kızıl Kolyeli Meyveyiyen,ovociar obojkový,Crvenogrla voćarka,Плодоїд золотобровий,红斑食果伞鸟,punakupukotinga,Frutero degollado,Frutero Degollado,Granicera Degollada,Anambé-de-whitely,tepujska kotinga,Raudondryžė pipreola,میوهخورک سرخنواری,Cotinga rhesen goch,tepuikotinga
Piprites chloris,Wing-barred Piprites,Aves,Gelbzügel-Pipratyrann,Piprites Verde,krzykaczyk oliwkowy,Piprite verdin,Streepvleugelmanakin,Рыжелобая пиприта,ハマダラマイコドリ,pipulčík pruhokřídlý,piprita verd,papinho-amarelo,grånakkepiprit,Зеленa пипрова мухоловка,grånackad piprit,Grånakket Piprites,Şerit Kanatlı Piprit,piprita zelenkavá,Zelena piprita,Ірличок оливковий,斑翅娇鹟,kirjosiipitanssija,Piprites verde,Piprites Verde,Piprites Alibandeado,Papinho-amarelo,krupnooka elenija,Dryžasparnė piprita,رنگینکنمای بالخطی,Manacin adeinresog,Wing-barred Piprites
Piprites griseiceps,Gray-headed Piprites,Aves,Graustirn-Pipratyrann,Piprites Cabecigrís,krzykaczyk szarogłowy,Piprite à tête grise,Grijskopmanakin,Сероголовая пиприта,メジロマイコドリ,pipulčík šedohlavý,piprita capgrís,gray-headed piprites,gråhodepiprit,Сивоглавa пипрова мухоловка,gråhuvad piprit,Gråhovedet Piprites,Gri Başlı Piprit,piprita sivohlavá,Sivoglava piprita,Ірличок сіроголовий,灰头娇鹟,rillitanssija,Piprites cabecigrís,Piprites Cabecigrís,Piprites Cabecigrís,Gray-headed piprites,honduraska elenija,Pilkagalvė piprita,رنگینکنمای سرخاکستری,Manacin penfrith,Gray-headed Piprites
Piprites pileata,Black-capped Piprites,Aves,Zimtpipratyrann,Piprites Capirotado,krzykaczyk czarnołbisty,Piprite chaperonné,Zwartkruinmanakin,Черношапочная пиприта,ズグロマイコドリ,pipulčík černotemenný,piprita de capell,caneleirinho-de-chapéu-preto,svartkronepiprit,Черноглавa пипрова мухоловка,svartkronad piprit,Sortkronet Piprites,Kara Başlı Piprit,piprita čiernohlavá,Crvena piprita,Ірличок пломенистий,黑顶娇鹟,mustalakkitanssija,Piprites capirotado,Piprites Capirotado,Bailarín Castaño,Caneleirinho-de-chapéu-preto,kestenjastoleđa elenija,Juodakepurė piprita,رنگینکنمای سیاهکلاه,Manacin corunddu,Black-capped Piprites
Piranga bidentata,Flame-colored Tanager,Aves,Blutkardinal,Piranga Estriada,piranga ognista,Piranga à dos rayé,Bloedtangare,Огненная пиранга,ホノオフウキンチョウ,tangara červenohnědá,piranga estriada,flame-colored tanager,flammepiranga,Оранжева танагра,fläckvingad kardinal,Pletvinget Ildtangar,Alevli Piranga,piranga ohnivá,Krstokljunska tangara,Піранга вогниста,火领丽唐纳雀,liekkitangara,Piranga estriada,Piranga Dorso Rayado,Piranga Estriada,Flame-colored tanager,plamena piranga,Flame-colored Tanager,فرخنده آتشرنگ,Tanagr fflamgoch,kiriselg-leeklind
Piranga erythrocephala,Red-headed Tanager,Aves,Rotkopfkardinal,Piranga Cabecirroja,piranga czerwonogłowa,Piranga érythrocéphale,Roodkoptangare,Краснолицая пиранга,ズアカフウキンチョウ,tangara mexická,piranga cap-roja,red-headed tanager,rødhodepiranga,Мексиканска танагра,rödhuvad kardinal,Rødhovedet Ildtangar,Kırmızı Yüzlü Piranga,piranga červenohlavá,Crvenoglava tangara,Піранга червоноголова,红头丽唐纳雀,meksikontulitangara,Piranga cabecirroja,Piranga Cabeza Roja,Piranga Cabecirroja,Red-headed tanager,crvenoglava piranga,Red-headed Tanager,Red-headed Tanager,Tanagr pengoch y Gogledd,mehhiko leeklind
Piranga flava,Red Tanager,Aves,Zinnoberkardinal,Piranga Bermeja,piranga cynobrowa,Piranga orangé,Levertangare,Красная пиранга,レンガフウキンチョウ,tangara rumělková,piranga taronja,sanhaço-de-fogo/montano,skarlagenpiranga,Борова танагра,tegelröd kardinal,Ildtangar,Hepatik Piranga,piranga rumelková,Žućkasta tangara,Піранга червона,肝红丽唐纳雀,purppuratangara,Piranga bermeja,Piranga Encinera,Piranga Bermeja,sanhaço-de-fogo/montano,narančasta piranga,blāvā tanagra,فرخنده یرقانی,Tanagr coch bochlwyd,maksa-leeklind
Piranga hepatica,Hepatic Tanager,Aves,Zinnoberkardinal,Piranga Bermeja,piranga cynobrowa,Piranga orangé,Levertangare,Красная пиранга,レンガフウキンチョウ,tangara rumělková,piranga taronja,sanhaço-de-fogo/montano,skarlagenpiranga,Борова танагра,tegelröd kardinal,Ildtangar,Hepatik Piranga,piranga rumelková,Žućkasta tangara,Піранга червона,肝红丽唐纳雀,purppuratangara,Piranga bermeja,Piranga Encinera,Piranga Bermeja,sanhaço-de-fogo/montano,narančasta piranga,blāvā tanagra,فرخنده یرقانی,Tanagr coch bochlwyd,maksa-leeklind
Piranga leucoptera,White-winged Tanager,Aves,Weißbindenkardinal,Piranga Aliblanca,piranga białoskrzydła,Piranga bifascié,Witvleugeltangare,Белокрылая пиранга,ハジロフウキンチョウ,tangara bělokřídlá,piranga alablanca,sanhaço-de-asa-branca,båndpiranga,Белокрила танагра,vitbandad kardinal,Hvidbåndet Ildtangar,Ak Kanatlı Piranga,piranga bielokrídla,Belokrila tangara,Піранга білокрила,白翅丽唐纳雀,punatangara,Piranga aliblanca,Piranga Alas Blancas,Piranga Aliblanca,Sanhaço-d'asa-branca,crnolica piranga,White-winged Tanager,White-winged Tanager,Tanagr y Dwyrain,väike-leeklind
Piranga ludoviciana,Western Tanager,Aves,Kiefernkardinal,Piranga Carirroja,piranga żółtorzytna,Piranga à tête rouge,Dennentangare,Желтоплечая пиранга,ニシフウキンチョウ,tangara červenohlavá,piranga cara-roja,western tanager,vestpiranga,Червеноглава танагра,brandkardinal,Gul Ildtangar,Batılı Piranga,piranga čiernochrbtá,Zapadna tangara,Піранга жовтогуза,黄腹丽唐纳雀,tammitangara,Piranga carirroja,Piranga Capucha Roja,Piranga Occidental,Western tanager,žutotrba piranga,rietumu tanagra,فرخنده غربی,Tanagr y Gorllewin,loode-leeklind
Piranga lutea,Tooth-billed Tanager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piranga olivacea,Scarlet Tanager,Aves,Scharlachkardinal,Piranga Escarlata,piranga szkarłatna,Piranga écarlate,Zwartvleugeltangare,Чернокрылая пиранга,アカフウキンチョウ,piranga šarlatová,piranga escarlata,sanhaço-escarlate,rødpiranga,Чернокрила танагра,scharlakanskardinal,Skarlagentangar,Kara Kanatlı Piranga,piranga šarlátová,Crvena tangara,Піранга кармінова,猩红丽唐纳雀,tulitangara,Piranga escarlata,Piranga Escarlata,Piranga Escarlata,Sanhaço-d'asa-preta,crnokrila piranga,Žalsvoji piranga,Scarlet Tanager,Tanagr coch,kirde-leeklind
Piranga roseogularis,Rose-throated Tanager,Aves,Rosenkehlkardinal,Piranga Yucateca,piranga różowogardła,Piranga à gorge rose,Rozekeeltangare,Розовогорлая пиранга,バラノドフウキンチョウ,tangara růžovohrdlá,piranga gorja-rosada,rose-throated tanager,rosenstrupepiranga,Розовогуша танагра,rosenstrupig kardinal,Rosentangar,Yukatan Pirangası,piranga ružovohrdlá,Ružogrla tangara,Піранга рожевогорла,玫喉丽唐纳雀,jukatanintangara,Piranga yucateca,Piranga Yucateca,Piranga Yucateca,Rose-throated tanager,jukatanska piranga,Rose-throated Tanager,Rose-throated Tanager,Tanagr gyddfwridog,hall-leeklind
Piranga rubra,Summer Tanager,Aves,Sommerkardinal,Piranga Roja,piranga pąsowa,Piranga vermillon,Zomertangare,Алая пиранга,ナツフウキンチョウ,piranga ohnivá,piranga vermella,sanhaço-vermelho,sommerpiranga,Червена танагра,sommarkardinal,Sommertangar,Kırmızı Piranga,piranga červená,Letnja tangara,Піранга пломениста,玫红丽唐纳雀,kesätangara,Piranga roja,Piranga Roja,Piranga Roja,Sanhaço-de-fogo-migrador,crvena piranga,Raudonoji piranga,Summer Tanager,Tanagr haf,laulu-leeklind
Piranga rubriceps,Red-hooded Tanager,Aves,Scharlachkopfkardinal,Piranga Capuchirroja,piranga żółtobrzucha,Piranga à capuchon,Karmozijnkoptangare,Красногрудая пиранга,アカズキンフウキンチョウ,tangara džunglová,piranga encaputxada,red-hooded tanager,rødhettepiranga,Планинска танагра,eldkardinal,Gulskuldret Ildtangar,Kırmızı Başlıklı Piranga,piranga kapucňová,Crvenokapuljačasta tangara,Піранга жовточерева,红冠丽唐纳雀,andientulitangara,Piranga capuchirroja,Piranga Capuchirroja,Piranga Capuchirroja,Red-hooded tanager,crvenoprsa piranga,Red-hooded Tanager,فرخنده سرخکلاه,Tanagr cycyllgoch,andi leeklind
Pitangus sulphuratus,Great Kiskadee,Aves,Schwefelmaskentyrann,Bienteveo Común,bentewi wielki,Tyran quiquivi,Grote kiskadie,"Большой бентеви, кискади",キバラオオタイランチョウ,tyran bentevi,tirà reial gros,bem-te-vi,storkiskadi,Голяма присмехулна мухоловка,större kiskadi,Stor Kiskadie,Büyük Kiskadi Tiranı,postriežkar bentevi,Veliki kiskadi,Пітанга велика,大食蝇霸鹟,naamioväijy,Bienteveo común,Luis Bienteveo,Bienteveo Grande,Bem-te-vi,žutokruni silnik,Didžioji pitanga,گوگردی (پرنده),Ciscadî mawr,suur-masktikat
Pithecia monachus,Monk Saki,Mammalia,Mönchsaffe,Saki cabelludo,saki szara,Saki moine,Monnikssaki,Саки-монах,モンクサキ,chvostan kosmatý,Saqui monjo,Monk Saki,Munkesaki,саки монах,Monk Saki,munkesaki,Monk Saki,Monk Saki,Monk Saki,Monk Saki,僧面猴,munkkisaki,Monk Saki,Monk Saki,Monk Saki,Monk Saki,Monk Saki,Monk Saki,ساکی راهب,Monk Saki,Monk Saki
Pithecophaga jefferyi,Philippine Eagle,Aves,Affenadler,Águila Monera,małpożer,Pithécophage des Philippines,Apenarend,Филиппинский обезьяноед,フィリピンワシ,orlan opičí,àguila menjamones de les Filipines,philippine eagle,apeørn,Орел маймунояд,apörn,Abeørn,Filipin Maymun Yiyen Kartalı,opičiar veľkozobý,Filipinski orao,Гарпія філіпінська,食猿雕,filippiinienkotka,Águila monera,Águila Monera,Águila Monera,Philippine eagle,filipinski orao,Erelis beždžionėdis,عقاب فیلیپینی,Eryr y Philipinau,ahvikotkas
Pithecopus hypochondrialis,Pithecopus hypochondrialis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pithecopus palliatus,Pithecopus palliatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pithys albifrons,White-plumed Antbird,Aves,Weißgesicht-Ameisenvogel,Hormiguero Cuerniblanco,dziwaczek maskowy,Fourmilier manikup,Witpluimmiervogel,Султановая аракура,シロエボシアリドリ,mravenčík parukář,formiguer armat,papa-formiga-de-topete,maskerademaurvokter,Белобрада мраволовка,vitplymad myrfågel,Hvidpandet Myrefugl,Ak Sorguçlu Karıncakuşu,mravcosled roháčik,Beloćuba mravarka,Аракура білочуба,白羽蚁鸟,valkonaamiomuura,Hormiguero cuerniblanco,Hormiguero Cuerniblanco,Hormiguero Cuerniblanco,Papa-formiga-de-barrete,dvokresta mravarica,Baltaplunksnė arakura,مورچهمرغ پیشانیسفید,Aderyn morgrug pluog,White-plumed Antbird
Pithys castaneus,White-masked Antbird,Aves,Weißmasken-Ameisenvogel,Hormiguero Castaño,dziwaczek kasztanowaty,Fourmilier à masque blanc,Witmaskermiervogel,Масковая аракура,シロガオアリドリ,mravenčík běloškraboškový,formiguer de màscara blanca,white-masked antbird,hvitmaskemaurvokter,Белолика мраволовка,vitmaskad myrfågel,Hvidmasket Myrefugl,Ak Maskeli Karıncakuşu,mravcosled gaštanový,Belolika mravarka,Аракура еквадорська,白脸蚁鸟,valkoposkimuura,Hormiguero castaño,Hormiguero Castaño,Hormiguero de Mascara Blanca,White-masked antbird,moronska mravarica,Baltaveidė arakura,مورچهمرغ نقابسفید,Aderyn morgrug mygydog,White-masked Antbird
Pitohui cerviniventris,Raja Ampat Pitohui,Aves,Graukopfpirol,Pitohuí de Waigeo,fletowiec płowy,Pitohui de Waigeo,Raja-Ampatpitohui,Рыжебрюхий питоху,Raja Ampat Pitohui,pitohui rezavobřichý,pitouí de Waigeo,raja ampat pitohui,waigeopitohui,Ръждивокорем дебелоглав дрозд,rajaampatpitohui,Waigeo Pitohui,Raja Ampat Pitohuyisi,pitohui ostrovný,Vaigeo pitohui,Пітогу острівний,四王岛林鵙鹟,Raja Ampat Pitohui,Pitohuí de Waigeo,Pitohuí de Waigeo,Pitohuí de Waigeo,Raja ampat pitohui,riđotrba vuga,Raja Ampat Pitohui,پیتویی راجه آمپات,Raja Ampat Pitohui,Raja Ampat Pitohui
Pitohui dichrous,Hooded Pitohui,Aves,Zweifarbpirol,Pitohuí Bicolor,fletowiec kapturowy,Pitohui bicolore,Bergpitohui,Двухцветный питоху,ズグロモリモズ,pitohui černohlavý,pitouí encaputxat,hooded pitohui,giftpitohui,Кестенявогръб дебелоглав дрозд,svarthuvad pitohui,Sorthovedet Pitohui,Takkeli Pitohuyi,pitohui čiernohlavý,Ćubasti pitohui,Пітогу темноголовий,黑头林鵙鹟,myrkkypitohui,Pitohuí bicolor,Pitohuí Bicolor,Pitohuí Bicolor,Hooded pitohui,crvenkasta vuga,Dvispalvis pitohas,پیتویی کلاهدار,Pitohwi penddu,nõlva-mürkpeoleo
Pitohui kirhocephalus,Northern Variable Pitohui,Aves,Ockerpirol,Pitohuí Variable Norteño,fletowiec zmienny,Pitohui variable,Noordelijke bonte pitohui,Охристый питоху,カワリモリモズ,pitohui proměnlivý,pitouí variable septentrional,northern variable pitohui,vekselpitohui,Сивоглав дебелоглав дрозд,nordlig pitohui,Variabel Pitohui,Kuzeyli Değişken Pitohuyi,pitohui pestrý,Severni pitohui,Пітогу іржастий,杂色林鵙鹟,parvipitohui,Pitohuí variable norteño,Pitohuí Variable Norteño,Pitohuí Variable Norteño,Northern variable pitohui,riđa vuga,Juodagalvis pitohas,پیتویی گونهگون,Pitohwi amryliw,eris-mürkpeoleo
Pitohui uropygialis,Southern Variable Pitohui,Aves,Maronenpirol,Pitohuí Variable Sureño,fletowiec kasztanowaty,Pitohui de Gray,Zuidelijke bonte pitohui,Южный питоху,Southern Variable Pitohui,pitohui jižní,pitouí variable meridional,southern variable pitohui,maronpitohui,Черноглав дебелоглав дрозд,sydlig pitohui,Rødbrun Pitohui,Güneyli Değişken Pitohuyi,pitohui okrový,Južni pitohui,Пітогу папуанський,南杂色林鵙鹟,Southern Variable Pitohui,Pitohuí variable sureño,Pitohuí Variable Sureño,Pitohuí Variable Sureño,Southern variable pitohui,kestenjasta vuga,Southern Variable Pitohui,پیتویی گونهگون جنوبی,Southern Variable Pitohui,Southern Variable Pitohui
Pitta abbotti,Nicobar Hooded Pitta,Aves,Nicobar Hooded Pitta,Pita de las Nicobar,kurtaczek rdzawołbisty,Brève des Nicobar,Nicobarenpitta,Nicobar Hooded Pitta,ニコバルズグロヤイロチョウ,pita nikobarská,Nicobar Hooded Pitta,nicobar hooded pitta,kastanjekronepitta,Никобарска черноглава пита,nikobarjuveltrast,Nicobar Hættepitta,Nikobar Adaları Kara Başlı Pittası,pita nikobarská,Nikobarska kapuljačasta pita,Піта нікобарська,尼科巴绿胸八色鸫,Nicobar Hooded Pitta,Pita de las Nicobar,Pita de las Nicobar,Pita de las Nicobar,Nicobar hooded pitta,Nicobar Hooded Pitta,Nikobarinė pita,Nicobar Hooded Pitta,Nicobar Hooded Pitta,Nicobar Hooded Pitta
Pitta anerythra,Black-faced Pitta,Aves,Maskenpitta,Pita Carinegra,kurtaczek czarnolicy,Brève masquée,Zwartmaskerpitta,Чернолицая питта,カオグロヤイロチョウ,pita černolící,pita caranegra,black-faced pitta,salomonpitta,Соломонова пита,svartmaskad juveltrast,Maskepitta,Kara Yüzlü Pitta,pita masková,Crnolika pita,Піта чорнощока,黑脸八色鸫,salomoninpitta,Pita carinegra,Pita Carinegra,Pita Carinegra,Black-faced pitta,solomonska pita,Juodaveidė pita,پیتای سیاهچهره,Pita wynebddu,saalomonisaarte pita
Pitta angolensis,African Pitta,Aves,Angolapitta,Pita Angoleña,kurtaczek angolski,Brève d'Angola,Angolese pitta,Ангольская питта,アフリカヤイロチョウ,pita africká,pita d'Angola,african pitta,praktpitta,Африканска пита,afrikansk juveltrast,Afrikansk Pitta,Afrika Pittası,pita plavoprsá,Afrička pita,Піта ангольська,非洲八色鸫,afrikanpitta,Pita angoleña,Pita Angoleña,Pita Angoleña,African pitta,crvenotrba pita,Angolinė pita,پیتای آنگولایی,Pita Affrica,aafrika pita
Pitta brachyura,Indian Pitta,Aves,Bengalenpitta,Pita India,kurtaczek bengalski,Brève du Bengale,Negenkleurige pitta,Индийская питта,インドヤイロチョウ,pita devítibarvá,pita de l'Índia,indian pitta,indiapitta,Индийска пита,indisk juveltrast,Indisk Pitta,Hint Pittası,pita pestrá,Indijska pita,Піта короткохвоста,印度八色鸫,bengalinpitta,Pita india,Pita India,Pita India,Indian pitta,indijska pita,Bengalinė pita,پیتای هندی,Pita adeinlas,koidupita
Pitta concinna,Ornate Pitta,Aves,Sundaschmuckpitta,Pita Ventrinegra,kurtaczek floreski,Brève de Lombok,Ornaatpitta,Ornate Pitta,インドネシアノドグロヤイロチョウ,pita malosundská,pita ornada,ornate pitta,ornatpitta,Цветна пита,ornatjuveltrast,Lombok Pragtpitta,Süslü Pitta,pita žltoprsá,Beloobrvasta kitnjasta pita,Піта золотогруда,丽色八色鸫,Ornate Pitta,Pita ventrinegra,Pita Ventrinegra,Pita Ventrinegra,Ornate pitta,Ornate Pitta,Puošnioji pita,پیتای خوشرنگ,Ornate Pitta,Ornate Pitta
Pitta elegans,Elegant Pitta,Aves,Schmuckpitta,Pita Elegante,kurtaczek ozdobny,Brève élégante,Elegante pitta,Стройная питта,ティモールノドグロヤイロチョウ,pita ozdobná,pita elegant,elegant pitta,elegantpitta,Елегантна пита,praktjuveltrast,Pragtpitta,Ekru Göğüslü Pitta,pita pôvabná,Žutoobrvasta kitnjasta pita,Піта жовтоброва,华丽八色鸫,kaunopitta,Pita elegante,Pita Elegante,Pita Elegante,Elegant pitta,žutoprsa pita,Elegantiškoji pita,پیتای الگانس,Pita cain,hundpita
Pitta iris,Rainbow Pitta,Aves,Regenbogenpitta,Pita Arcoiris,kurtaczek tęczowy,Brève iris,Regenboogpitta,Радужная питта,ムナグロヤイロチョウ,pita duhová,pita irisada,rainbow pitta,irispitta,Дъгова пита,regnbågsjuveltrast,Regnbuepitta,Gökkuşağı Renkli Pitta,pita dúhová,Zelenokrila crna pita,Піта австралійська,彩虹八色鸫,mustepitta,Pita arcoiris,Pita Arcoiris,Pita Arcoiris,Rainbow pitta,crnoprsa pita,Vaivorykštinė pita,پیتای رنگینکمانی,Pita seithliw,mustpita
Pitta maxima,Ivory-breasted Pitta,Aves,Weißbrustpitta,Pita de Halmahera,kurtaczek wielki,Brève d'Halmahera,Grote pitta,Белобрюхая питта,オオヤイロチョウ,pita obrovská,pita de Halmahera,ivory-breasted pitta,hvitbrystpitta,Гигантска пита,halmaherajuveltrast,Halmaherapitta,Halmahera Pittası,pita molucká,Belogruda pita,Піта-велетень,白胸八色鸫,molukkienpitta,Pita de Halmahera,Pita de Halmahera,Pita de Halmahera,Ivory-breasted pitta,bjeloprsa pita,Didžioji pita,پیتای سینه سفید,Pita bronwyn,halmahera pita
